Ambient air temperature. :  0.0,TimeStamp:108712166891063,TimeStamp In Milliseconds1567021771029
Ambient air temperature. :  0.0,TimeStamp:108712175832063,TimeStamp In Milliseconds1567021771038
Ambient air temperature. :  0.0,TimeStamp:108712185788063,TimeStamp In Milliseconds1567021771048
Ambient air temperature. :  0.0,TimeStamp:108712196195063,TimeStamp In Milliseconds1567021771058
Ambient air temperature. :  0.0,TimeStamp:108712205684063,TimeStamp In Milliseconds1567021771068
Ambient air temperature. :  0.0,TimeStamp:108712215788063,TimeStamp In Milliseconds1567021771078
Ambient air temperature. :  0.0,TimeStamp:108712227707063,TimeStamp In Milliseconds1567021771090
Ambient air temperature. :  0.0,TimeStamp:108712236708063,TimeStamp In Milliseconds1567021771099
Ambient air temperature. :  0.0,TimeStamp:108712246877063,TimeStamp In Milliseconds1567021771109
Ambient air temperature. :  0.0,TimeStamp:108712256921063,TimeStamp In Milliseconds1567021771119
Ambient air temperature. :  0.0,TimeStamp:108712266766063,TimeStamp In Milliseconds1567021771129
Ambient air temperature. :  0.0,TimeStamp:108712278086063,TimeStamp In Milliseconds1567021771140
Ambient air temperature. :  0.0,TimeStamp:108712287961063,TimeStamp In Milliseconds1567021771150
Ambient air temperature. :  0.0,TimeStamp:108712298173063,TimeStamp In Milliseconds1567021771161
Ambient air temperature. :  0.0,TimeStamp:108712307803063,TimeStamp In Milliseconds1567021771170
Ambient air temperature. :  0.0,TimeStamp:108712317929063,TimeStamp In Milliseconds1567021771181
Ambient air temperature. :  0.0,TimeStamp:108712327860063,TimeStamp In Milliseconds1567021771190
Ambient air temperature. :  0.0,TimeStamp:108712337759063,TimeStamp In Milliseconds1567021771200
Ambient air temperature. :  0.0,TimeStamp:108712349346063,TimeStamp In Milliseconds1567021771211
Ambient air temperature. :  0.0,TimeStamp:108712358615063,TimeStamp In Milliseconds1567021771220
Ambient air temperature. :  0.0,TimeStamp:108712369682063,TimeStamp In Milliseconds1567021771232
Ambient air temperature. :  0.0,TimeStamp:108712378860063,TimeStamp In Milliseconds1567021771241
Ambient air temperature. :  0.0,TimeStamp:108712389112063,TimeStamp In Milliseconds1567021771251
Ambient air temperature. :  0.0,TimeStamp:108712398760063,TimeStamp In Milliseconds1567021771261
Ambient air temperature. :  0.0,TimeStamp:108712409365063,TimeStamp In Milliseconds1567021771272
Ambient air temperature. :  0.0,TimeStamp:108712418752063,TimeStamp In Milliseconds1567021771281
Ambient air temperature. :  0.0,TimeStamp:108712429534063,TimeStamp In Milliseconds1567021771292
Ambient air temperature. :  0.0,TimeStamp:108712439159063,TimeStamp In Milliseconds1567021771302
Ambient air temperature. :  0.0,TimeStamp:108712448637063,TimeStamp In Milliseconds1567021771311
Ambient air temperature. :  0.0,TimeStamp:108712458703063,TimeStamp In Milliseconds1567021771321
Ambient air temperature. :  0.0,TimeStamp:108712469000063,TimeStamp In Milliseconds1567021771331
Ambient air temperature. :  0.0,TimeStamp:108712479058063,TimeStamp In Milliseconds1567021771342
Ambient air temperature. :  0.0,TimeStamp:108712488944063,TimeStamp In Milliseconds1567021771350
Ambient air temperature. :  0.0,TimeStamp:108712498848063,TimeStamp In Milliseconds1567021771361
Ambient air temperature. :  0.0,TimeStamp:108712508766063,TimeStamp In Milliseconds1567021771371
Ambient air temperature. :  0.0,TimeStamp:108712519428063,TimeStamp In Milliseconds1567021771381
Ambient air temperature. :  0.0,TimeStamp:108712529071063,TimeStamp In Milliseconds1567021771391
Ambient air temperature. :  0.0,TimeStamp:108712541963063,TimeStamp In Milliseconds1567021771404
Ambient air temperature. :  0.0,TimeStamp:108712549920063,TimeStamp In Milliseconds1567021771412
Ambient air temperature. :  0.0,TimeStamp:108712560047063,TimeStamp In Milliseconds1567021771422
Ambient air temperature. :  0.0,TimeStamp:108712571196063,TimeStamp In Milliseconds1567021771433
Ambient air temperature. :  0.0,TimeStamp:108712580856063,TimeStamp In Milliseconds1567021771443
Ambient air temperature. :  0.0,TimeStamp:108712591151063,TimeStamp In Milliseconds1567021771453
Ambient air temperature. :  0.0,TimeStamp:108712601133063,TimeStamp In Milliseconds1567021771463
Ambient air temperature. :  0.0,TimeStamp:108712612208063,TimeStamp In Milliseconds1567021771475
Ambient air temperature. :  0.0,TimeStamp:108712621224063,TimeStamp In Milliseconds1567021771483
Ambient air temperature. :  0.0,TimeStamp:108712631805063,TimeStamp In Milliseconds1567021771494
Ambient air temperature. :  0.0,TimeStamp:108712642824063,TimeStamp In Milliseconds1567021771505
Ambient air temperature. :  0.0,TimeStamp:108712652785063,TimeStamp In Milliseconds1567021771515
Ambient air temperature. :  0.0,TimeStamp:108712662440063,TimeStamp In Milliseconds1567021771525
