  Rate of rotation around the x axis :   1.8497009,  Rate of rotation around the y axis: 0.63978577,  Rate of rotation around the z axis :   -0.23364258,TimeStamp:664238523071338,TimeStamp In Milliseconds1567878559157
  Rate of rotation around the x axis :   1.8464966,  Rate of rotation around the y axis: 0.64297485,  Rate of rotation around the z axis :   -0.22937012,TimeStamp:664238528015186,TimeStamp In Milliseconds1567878559162
  Rate of rotation around the x axis :   1.8454437,  Rate of rotation around the y axis: 0.69944763,  Rate of rotation around the z axis :   -0.23789978,TimeStamp:664238532959033,TimeStamp In Milliseconds1567878559167
  Rate of rotation around the x axis :   1.8411713,  Rate of rotation around the y axis: 0.7654877,  Rate of rotation around the z axis :   -0.25068665,TimeStamp:664238537872363,TimeStamp In Milliseconds1567878559172
  Rate of rotation around the x axis :   1.833725,  Rate of rotation around the y axis: 0.8251343,  Rate of rotation around the z axis :   -0.2709198,TimeStamp:664238542816211,TimeStamp In Milliseconds1567878559177
  Rate of rotation around the x axis :   1.81987,  Rate of rotation around the y axis: 0.87094116,  Rate of rotation around the z axis :   -0.29542542,TimeStamp:664238547729541,TimeStamp In Milliseconds1567878559182
  Rate of rotation around the x axis :   1.803894,  Rate of rotation around the y axis: 0.9348602,  Rate of rotation around the z axis :   -0.31459045,TimeStamp:664238552673389,TimeStamp In Milliseconds1567878559187
  Rate of rotation around the x axis :   1.7900391,  Rate of rotation around the y axis: 1.0158234,  Rate of rotation around the z axis :   -0.3263092,TimeStamp:664238557617236,TimeStamp In Milliseconds1567878559192
  Rate of rotation around the x axis :   1.7740631,  Rate of rotation around the y axis: 1.0967865,  Rate of rotation around the z axis :   -0.3263092,TimeStamp:664238562561084,TimeStamp In Milliseconds1567878559197
  Rate of rotation around the x axis :   1.7580872,  Rate of rotation around the y axis: 1.1681519,  Rate of rotation around the z axis :   -0.3177948,TimeStamp:664238567474414,TimeStamp In Milliseconds1567878559202
  Rate of rotation around the x axis :   1.7335815,  Rate of rotation around the y axis: 1.2097015,  Rate of rotation around the z axis :   -0.31140137,TimeStamp:664238572387744,TimeStamp In Milliseconds1567878559207
  Rate of rotation around the x axis :   1.6931,  Rate of rotation around the y axis: 1.1894684,  Rate of rotation around the z axis :   -0.30500793,TimeStamp:664238577331592,TimeStamp In Milliseconds1567878559212
  Rate of rotation around the x axis :   1.6185303,  Rate of rotation around the y axis: 1.1617584,  Rate of rotation around the z axis :   -0.31140137,TimeStamp:664238582275439,TimeStamp In Milliseconds1567878559217
  Rate of rotation around the x axis :   1.5120087,  Rate of rotation around the y axis: 1.1362,  Rate of rotation around the z axis :   -0.32951355,TimeStamp:664238587188770,TimeStamp In Milliseconds1567878559221
  Rate of rotation around the x axis :   1.4182587,  Rate of rotation around the y axis: 1.0435181,  Rate of rotation around the z axis :   -0.33058167,TimeStamp:664238592132617,TimeStamp In Milliseconds1567878559227
  Rate of rotation around the x axis :   1.3319855,  Rate of rotation around the y axis: 0.979599,  Rate of rotation around the z axis :   -0.3444214,TimeStamp:664238597045947,TimeStamp In Milliseconds1567878559232
  Rate of rotation around the x axis :   1.2371674,  Rate of rotation around the y axis: 0.9380646,  Rate of rotation around the z axis :   -0.38383484,TimeStamp:664238601989795,TimeStamp In Milliseconds1567878559236
  Rate of rotation around the x axis :   1.1434326,  Rate of rotation around the y axis: 0.8688202,  Rate of rotation around the z axis :   -0.4200592,TimeStamp:664238606903125,TimeStamp In Milliseconds1567878559242
  Rate of rotation around the x axis :   1.0475464,  Rate of rotation around the y axis: 0.7793274,  Rate of rotation around the z axis :   -0.43603516,TimeStamp:664238611846973,TimeStamp In Milliseconds1567878559246
  Rate of rotation around the x axis :   0.95913696,  Rate of rotation around the y axis: 0.7196808,  Rate of rotation around the z axis :   -0.43177795,TimeStamp:664238616760303,TimeStamp In Milliseconds1567878559251
  Rate of rotation around the x axis :   0.87924194,  Rate of rotation around the y axis: 0.677063,  Rate of rotation around the z axis :   -0.4200592,TimeStamp:664238621704150,TimeStamp In Milliseconds1567878559256
  Rate of rotation around the x axis :   0.8036041,  Rate of rotation around the y axis: 0.6195526,  Rate of rotation around the z axis :   -0.40408325,TimeStamp:664238626617480,TimeStamp In Milliseconds1567878559261
  Rate of rotation around the x axis :   0.736496,  Rate of rotation around the y axis: 0.54603577,  Rate of rotation around the z axis :   -0.37957764,TimeStamp:664238631561328,TimeStamp In Milliseconds1567878559266
  Rate of rotation around the x axis :   0.6661835,  Rate of rotation around the y axis: 0.45869446,  Rate of rotation around the z axis :   -0.3486786,TimeStamp:664238636474658,TimeStamp In Milliseconds1567878559271
  Rate of rotation around the x axis :   0.5980072,  Rate of rotation around the y axis: 0.36601257,  Rate of rotation around the z axis :   -0.3209839,TimeStamp:664238641418506,TimeStamp In Milliseconds1567878559276
  Rate of rotation around the x axis :   0.5287628,  Rate of rotation around the y axis: 0.278656,  Rate of rotation around the z axis :   -0.29649353,TimeStamp:664238646331836,TimeStamp In Milliseconds1567878559281
  Rate of rotation around the x axis :   0.45207214,  Rate of rotation around the y axis: 0.20835876,  Rate of rotation around the z axis :   -0.27305603,TimeStamp:664238651275684,TimeStamp In Milliseconds1567878559285
  Rate of rotation around the x axis :   0.371109,  Rate of rotation around the y axis: 0.16467285,  Rate of rotation around the z axis :   -0.25813293,TimeStamp:664238656219531,TimeStamp In Milliseconds1567878559290
  Rate of rotation around the x axis :   0.2965393,  Rate of rotation around the y axis: 0.15083313,  Rate of rotation around the z axis :   -0.2474823,TimeStamp:664238661132861,TimeStamp In Milliseconds1567878559296
  Rate of rotation around the x axis :   0.22943115,  Rate of rotation around the y axis: 0.14762878,  Rate of rotation around the z axis :   -0.24108887,TimeStamp:664238666046191,TimeStamp In Milliseconds1567878559301
  Rate of rotation around the x axis :   0.17616272,  Rate of rotation around the y axis: 0.1401825,  Rate of rotation around the z axis :   -0.23576355,TimeStamp:664238670990039,TimeStamp In Milliseconds1567878559305
  Rate of rotation around the x axis :   0.13781738,  Rate of rotation around the y axis: 0.13591003,  Rate of rotation around the z axis :   -0.23257446,TimeStamp:664238675933887,TimeStamp In Milliseconds1567878559310
  Rate of rotation around the x axis :   0.11225891,  Rate of rotation around the y axis: 0.13697815,  Rate of rotation around the z axis :   -0.22511292,TimeStamp:664238680877734,TimeStamp In Milliseconds1567878559316
  Rate of rotation around the x axis :   0.097335815,  Rate of rotation around the y axis: 0.13272095,  Rate of rotation around the z axis :   -0.22085571,TimeStamp:664238685791064,TimeStamp In Milliseconds1567878559320
  Rate of rotation around the x axis :   0.09094238,  Rate of rotation around the y axis: 0.1295166,  Rate of rotation around the z axis :   -0.22192383,TimeStamp:664238690704395,TimeStamp In Milliseconds1567878559325
