luminance :  0.0,TimeStamp:108750528090063,TimeStamp In Milliseconds1567021809391
luminance :  0.0,TimeStamp:108750538091063,TimeStamp In Milliseconds1567021809401
luminance :  0.0,TimeStamp:108750547864063,TimeStamp In Milliseconds1567021809410
luminance :  0.0,TimeStamp:108750558001063,TimeStamp In Milliseconds1567021809420
luminance :  0.0,TimeStamp:108750568604063,TimeStamp In Milliseconds1567021809431
luminance :  0.0,TimeStamp:108750578037063,TimeStamp In Milliseconds1567021809440
luminance :  0.0,TimeStamp:108750588019063,TimeStamp In Milliseconds1567021809450
luminance :  0.0,TimeStamp:108750598259063,TimeStamp In Milliseconds1567021809460
luminance :  0.0,TimeStamp:108750608091063,TimeStamp In Milliseconds1567021809471
luminance :  0.0,TimeStamp:108750617836063,TimeStamp In Milliseconds1567021809480
luminance :  0.0,TimeStamp:108750628154063,TimeStamp In Milliseconds1567021809491
luminance :  0.0,TimeStamp:108750638134063,TimeStamp In Milliseconds1567021809501
luminance :  0.0,TimeStamp:108750647773063,TimeStamp In Milliseconds1567021809510
luminance :  0.0,TimeStamp:108750658754063,TimeStamp In Milliseconds1567021809521
luminance :  0.0,TimeStamp:108750668378063,TimeStamp In Milliseconds1567021809531
luminance :  0.0,TimeStamp:108750679189063,TimeStamp In Milliseconds1567021809542
luminance :  0.0,TimeStamp:108750687946063,TimeStamp In Milliseconds1567021809550
luminance :  0.0,TimeStamp:108750697844063,TimeStamp In Milliseconds1567021809560
luminance :  0.0,TimeStamp:108750707793063,TimeStamp In Milliseconds1567021809570
luminance :  0.0,TimeStamp:108750717874063,TimeStamp In Milliseconds1567021809580
luminance :  0.0,TimeStamp:108750728507063,TimeStamp In Milliseconds1567021809591
luminance :  0.0,TimeStamp:108750737889063,TimeStamp In Milliseconds1567021809600
luminance :  0.0,TimeStamp:108750748386063,TimeStamp In Milliseconds1567021809610
luminance :  0.0,TimeStamp:108750758981063,TimeStamp In Milliseconds1567021809621
luminance :  0.0,TimeStamp:108750769267063,TimeStamp In Milliseconds1567021809632
luminance :  0.0,TimeStamp:108750778812063,TimeStamp In Milliseconds1567021809641
luminance :  0.0,TimeStamp:108750789105063,TimeStamp In Milliseconds1567021809651
luminance :  0.0,TimeStamp:108750799038063,TimeStamp In Milliseconds1567021809661
luminance :  0.0,TimeStamp:108750809196063,TimeStamp In Milliseconds1567021809671
luminance :  0.0,TimeStamp:108750818955063,TimeStamp In Milliseconds1567021809681
luminance :  0.0,TimeStamp:108750828961063,TimeStamp In Milliseconds1567021809691
luminance :  0.0,TimeStamp:108750839346063,TimeStamp In Milliseconds1567021809702
luminance :  0.0,TimeStamp:108750849573063,TimeStamp In Milliseconds1567021809711
luminance :  0.0,TimeStamp:108750859166063,TimeStamp In Milliseconds1567021809722
luminance :  0.0,TimeStamp:108750869048063,TimeStamp In Milliseconds1567021809732
luminance :  0.0,TimeStamp:108750878848063,TimeStamp In Milliseconds1567021809741
luminance :  0.0,TimeStamp:108750889094063,TimeStamp In Milliseconds1567021809751
luminance :  0.0,TimeStamp:108750898895063,TimeStamp In Milliseconds1567021809761
luminance :  0.0,TimeStamp:108750908972063,TimeStamp In Milliseconds1567021809771
luminance :  0.0,TimeStamp:108750919109063,TimeStamp In Milliseconds1567021809781
luminance :  0.0,TimeStamp:108750929271063,TimeStamp In Milliseconds1567021809791
luminance :  0.0,TimeStamp:108750938775063,TimeStamp In Milliseconds1567021809801
luminance :  0.0,TimeStamp:108750949149063,TimeStamp In Milliseconds1567021809811
luminance :  0.0,TimeStamp:108750959070063,TimeStamp In Milliseconds1567021809821
luminance :  0.0,TimeStamp:108750969460063,TimeStamp In Milliseconds1567021809832
luminance :  0.0,TimeStamp:108750979693063,TimeStamp In Milliseconds1567021809842
luminance :  0.0,TimeStamp:108750989502063,TimeStamp In Milliseconds1567021809851
luminance :  0.0,TimeStamp:108750999805063,TimeStamp In Milliseconds1567021809862
luminance :  0.0,TimeStamp:108751009025063,TimeStamp In Milliseconds1567021809871
luminance :  0.0,TimeStamp:108751019717063,TimeStamp In Milliseconds1567021809882
luminance :  0.0,TimeStamp:108751029218063,TimeStamp In Milliseconds1567021809892
luminance :  0.0,TimeStamp:108751042305063,TimeStamp In Milliseconds1567021809905
luminance :  0.0,TimeStamp:108751050061063,TimeStamp In Milliseconds1567021809912
luminance :  0.0,TimeStamp:108751062004063,TimeStamp In Milliseconds1567021809925
luminance :  0.0,TimeStamp:108751070384063,TimeStamp In Milliseconds1567021809933
luminance :  0.0,TimeStamp:108751080918063,TimeStamp In Milliseconds1567021809943
luminance :  0.0,TimeStamp:108751091213063,TimeStamp In Milliseconds1567021809953
luminance :  0.0,TimeStamp:108751099979063,TimeStamp In Milliseconds1567021809962
luminance :  0.0,TimeStamp:108751114093063,TimeStamp In Milliseconds1567021809976
luminance :  0.0,TimeStamp:108751120933063,TimeStamp In Milliseconds1567021809983
luminance :  0.0,TimeStamp:108751132000063,TimeStamp In Milliseconds1567021809994
luminance :  0.0,TimeStamp:108751141165063,TimeStamp In Milliseconds1567021810004
luminance :  0.0,TimeStamp:108751151276063,TimeStamp In Milliseconds1567021810013
luminance :  0.0,TimeStamp:108751163135063,TimeStamp In Milliseconds1567021810025
luminance :  0.0,TimeStamp:108751172075063,TimeStamp In Milliseconds1567021810034
luminance :  0.0,TimeStamp:108751183580063,TimeStamp In Milliseconds1567021810046
luminance :  0.0,TimeStamp:108751192018063,TimeStamp In Milliseconds1567021810054
luminance :  0.0,TimeStamp:108751203032063,TimeStamp In Milliseconds1567021810065
luminance :  0.0,TimeStamp:108751212048063,TimeStamp In Milliseconds1567021810074
luminance :  0.0,TimeStamp:108751223158063,TimeStamp In Milliseconds1567021810085
luminance :  0.0,TimeStamp:108751232134063,TimeStamp In Milliseconds1567021810094
luminance :  0.0,TimeStamp:108751242764063,TimeStamp In Milliseconds1567021810105
luminance :  0.0,TimeStamp:108751253051063,TimeStamp In Milliseconds1567021810116
luminance :  0.0,TimeStamp:108751262128063,TimeStamp In Milliseconds1567021810125
luminance :  0.0,TimeStamp:108751273300063,TimeStamp In Milliseconds1567021810135
luminance :  0.0,TimeStamp:108751282065063,TimeStamp In Milliseconds1567021810144
luminance :  0.0,TimeStamp:108751293537063,TimeStamp In Milliseconds1567021810156
luminance :  0.0,TimeStamp:108751301992063,TimeStamp In Milliseconds1567021810164
luminance :  0.0,TimeStamp:108751312396063,TimeStamp In Milliseconds1567021810174
luminance :  0.0,TimeStamp:108751322228063,TimeStamp In Milliseconds1567021810185
luminance :  0.0,TimeStamp:108751332678063,TimeStamp In Milliseconds1567021810195
luminance :  0.0,TimeStamp:108751342553063,TimeStamp In Milliseconds1567021810205
luminance :  0.0,TimeStamp:108751352300063,TimeStamp In Milliseconds1567021810215
luminance :  0.0,TimeStamp:108751363219063,TimeStamp In Milliseconds1567021810226
luminance :  0.0,TimeStamp:108751372133063,TimeStamp In Milliseconds1567021810235
luminance :  0.0,TimeStamp:108751382084063,TimeStamp In Milliseconds1567021810245
luminance :  0.0,TimeStamp:108751393336063,TimeStamp In Milliseconds1567021810255
luminance :  0.0,TimeStamp:108751402454063,TimeStamp In Milliseconds1567021810265
luminance :  0.0,TimeStamp:108751412369063,TimeStamp In Milliseconds1567021810274
luminance :  0.0,TimeStamp:108751422622063,TimeStamp In Milliseconds1567021810285
luminance :  0.0,TimeStamp:108751434971063,TimeStamp In Milliseconds1567021810297
luminance :  0.0,TimeStamp:108751442372063,TimeStamp In Milliseconds1567021810305
luminance :  0.0,TimeStamp:108751455696063,TimeStamp In Milliseconds1567021810318
luminance :  0.0,TimeStamp:108751462240063,TimeStamp In Milliseconds1567021810324
luminance :  0.0,TimeStamp:108751472605063,TimeStamp In Milliseconds1567021810335
luminance :  0.0,TimeStamp:108751481999063,TimeStamp In Milliseconds1567021810345
luminance :  0.0,TimeStamp:108751492690063,TimeStamp In Milliseconds1567021810355
luminance :  0.0,TimeStamp:108751502375063,TimeStamp In Milliseconds1567021810364
luminance :  0.0,TimeStamp:108751512400063,TimeStamp In Milliseconds1567021810374
luminance :  0.0,TimeStamp:108751522329063,TimeStamp In Milliseconds1567021810384
luminance :  0.0,TimeStamp:108751532634063,TimeStamp In Milliseconds1567021810395
luminance :  0.0,TimeStamp:108751542621063,TimeStamp In Milliseconds1567021810404
luminance :  0.0,TimeStamp:108751553237063,TimeStamp In Milliseconds1567021810415
luminance :  0.0,TimeStamp:108751563752063,TimeStamp In Milliseconds1567021810426
luminance :  0.0,TimeStamp:108751572529063,TimeStamp In Milliseconds1567021810435
luminance :  0.0,TimeStamp:108751582668063,TimeStamp In Milliseconds1567021810444
luminance :  0.0,TimeStamp:108751592295063,TimeStamp In Milliseconds1567021810454
luminance :  0.0,TimeStamp:108751602518063,TimeStamp In Milliseconds1567021810464
luminance :  0.0,TimeStamp:108751612260063,TimeStamp In Milliseconds1567021810475
luminance :  0.0,TimeStamp:108751622388063,TimeStamp In Milliseconds1567021810484
luminance :  0.0,TimeStamp:108751634464063,TimeStamp In Milliseconds1567021810497
luminance :  0.0,TimeStamp:108751642162063,TimeStamp In Milliseconds1567021810505
luminance :  0.0,TimeStamp:108751654913063,TimeStamp In Milliseconds1567021810517
luminance :  0.0,TimeStamp:108751663114063,TimeStamp In Milliseconds1567021810526
luminance :  0.0,TimeStamp:108751674367063,TimeStamp In Milliseconds1567021810536
luminance :  0.0,TimeStamp:108751683494063,TimeStamp In Milliseconds1567021810546
luminance :  0.0,TimeStamp:108751692949063,TimeStamp In Milliseconds1567021810556
luminance :  0.0,TimeStamp:108751703515063,TimeStamp In Milliseconds1567021810565
luminance :  0.0,TimeStamp:108751713500063,TimeStamp In Milliseconds1567021810575
luminance :  0.0,TimeStamp:108751723631063,TimeStamp In Milliseconds1567021810586
luminance :  0.0,TimeStamp:108751733764063,TimeStamp In Milliseconds1567021810596
luminance :  0.0,TimeStamp:108751744003063,TimeStamp In Milliseconds1567021810607
luminance :  0.0,TimeStamp:108751753359063,TimeStamp In Milliseconds1567021810615
luminance :  0.0,TimeStamp:108751763990063,TimeStamp In Milliseconds1567021810626
luminance :  0.0,TimeStamp:108751773125063,TimeStamp In Milliseconds1567021810635
luminance :  0.0,TimeStamp:108751783005063,TimeStamp In Milliseconds1567021810645
luminance :  0.0,TimeStamp:108751793216063,TimeStamp In Milliseconds1567021810656
luminance :  0.0,TimeStamp:108751803724063,TimeStamp In Milliseconds1567021810666
luminance :  0.0,TimeStamp:108751813317063,TimeStamp In Milliseconds1567021810675
luminance :  0.0,TimeStamp:108751823825063,TimeStamp In Milliseconds1567021810686
luminance :  0.0,TimeStamp:108751834238063,TimeStamp In Milliseconds1567021810697
luminance :  0.0,TimeStamp:108751843406063,TimeStamp In Milliseconds1567021810705
luminance :  0.0,TimeStamp:108751853779063,TimeStamp In Milliseconds1567021810716
luminance :  0.0,TimeStamp:108751863716063,TimeStamp In Milliseconds1567021810726
luminance :  0.0,TimeStamp:108751873236063,TimeStamp In Milliseconds1567021810736
luminance :  0.0,TimeStamp:108751883479063,TimeStamp In Milliseconds1567021810746
luminance :  0.0,TimeStamp:108751893048063,TimeStamp In Milliseconds1567021810756
luminance :  0.0,TimeStamp:108751903682063,TimeStamp In Milliseconds1567021810766
luminance :  0.0,TimeStamp:108751913779063,TimeStamp In Milliseconds1567021810776
luminance :  0.0,TimeStamp:108751924747063,TimeStamp In Milliseconds1567021810787
luminance :  0.0,TimeStamp:108751933045063,TimeStamp In Milliseconds1567021810796
luminance :  0.0,TimeStamp:108751943056063,TimeStamp In Milliseconds1567021810805
luminance :  0.0,TimeStamp:108751953611063,TimeStamp In Milliseconds1567021810816
luminance :  0.0,TimeStamp:108751963436063,TimeStamp In Milliseconds1567021810826
luminance :  0.0,TimeStamp:108751973302063,TimeStamp In Milliseconds1567021810836
luminance :  0.0,TimeStamp:108751983292063,TimeStamp In Milliseconds1567021810846
luminance :  0.0,TimeStamp:108751993432063,TimeStamp In Milliseconds1567021810855
luminance :  0.0,TimeStamp:108752003591063,TimeStamp In Milliseconds1567021810866
luminance :  0.0,TimeStamp:108752014310063,TimeStamp In Milliseconds1567021810876
luminance :  0.0,TimeStamp:108752023343063,TimeStamp In Milliseconds1567021810886
luminance :  0.0,TimeStamp:108752033649063,TimeStamp In Milliseconds1567021810896
luminance :  0.0,TimeStamp:108752043781063,TimeStamp In Milliseconds1567021810906
luminance :  0.0,TimeStamp:108752054210063,TimeStamp In Milliseconds1567021810916
luminance :  0.0,TimeStamp:108752063760063,TimeStamp In Milliseconds1567021810926
luminance :  0.0,TimeStamp:108752073963063,TimeStamp In Milliseconds1567021810936
luminance :  0.0,TimeStamp:108752083168063,TimeStamp In Milliseconds1567021810946
luminance :  0.0,TimeStamp:108752093775063,TimeStamp In Milliseconds1567021810956
luminance :  0.0,TimeStamp:108752104252063,TimeStamp In Milliseconds1567021810966
luminance :  0.0,TimeStamp:108752114020063,TimeStamp In Milliseconds1567021810976
luminance :  0.0,TimeStamp:108752123834063,TimeStamp In Milliseconds1567021810986
luminance :  0.0,TimeStamp:108752133595063,TimeStamp In Milliseconds1567021810996
luminance :  0.0,TimeStamp:108752143868063,TimeStamp In Milliseconds1567021811006
luminance :  0.0,TimeStamp:108752153676063,TimeStamp In Milliseconds1567021811016
luminance :  0.0,TimeStamp:108752163948063,TimeStamp In Milliseconds1567021811026
